"Reference","LeftContext","Pivot","RightContext"
"31C","have said of this resurrection? What would","Cromwell","have said? Would he have quoted that"
"32H","an extraordinary Ambassador to complemente the Protector Oliver","Cromwell",", who complemented the King of France before"
"33S","appear to be the descendants of some of","Cromwell","'s followers. "" The history of Wicklow"
"33S","The castle survived as a storm centre until","Cromwell","passed by on his march to Wexford and"
"33S","Wexford and battered it with his guns.","Cromwell","'s march through Wicklow was no rose path"
"33S","the camp by Christopher O'Twohill, "" whereupon","Cromwell","sent a messenger after him offering £1oo"
"35B","the English amy, and he and Henry","Cromwell",", one of Oliver's sons, married"
"36E","of bitter west winds fled the refugees from","Cromwell",". Came, too, the gallions of"
"38D","Ulster, of the Confederate Wars, of","Cromwell","and the sundering Gaelic Ireland that would know"
"38I","crisis. Two Olivers figured in it.","Cromwell",", like the thorough-going tradesman that he was"
"38I","Ireland and their Irishism withers and dies.","Cromwell","'s plan only partially succeeded. Economic causes"
"38I","were so thorough in conception and execution that","Cromwell","'s success seemed humanly certain. He reckoned"
"38M","the whole people must undo the curse of","Cromwell",". Half-measures are worse than useless. For"
"38M","victims of that system. The legacy from","Cromwell",", from Penal Laws and from rack-renters we"
"38M","they are condemned by us even as by","Cromwell",". The people of the West have paid"
"40V","up the body of it with history and","Cromwell","and all the wars. But, as"
"40V","enough of history, and especially of the","Cromwell","invocation. These things can never happen again"
"40W","a Firbolg. Did you never hear of","Cromwell","? "" said he. I was gathering"
"40W","that last bit, but when he mentioned","Cromwell","I felt near exploding. "" I'll"
"40W","know about you! Just that bit about","Cromwell",". "" To hell or to Connacht,"
"40W","I just listened; "" but long before","Cromwell","was born Connacht had its birth, and"
"40W","birth, and Connacht lives to-day long after","Cromwell","'s death, and 'twould be interesting"
"40W",", and 'twould be interesting to contrast","Cromwell","and Connacht if only for the sake of"
"40W","of Elizabeth and Lynch's Castle, Galway","Cromwell","has been enriched by the men of the"
"41C","Men were hanged there in the time of","Cromwell","and the field is still known as Páirc"
"41C","Carthaigh, Spenser, Raleigh, Warbeck,","Cromwell",", James II, Marlborough, Scott,"
"41F","Catholic Ireland was left an easy prey to","Cromwell","'s campaign of extermination. For the duration"
"42F","Laundy to the Lord Privy Seal, Thomas","Cromwell",", shortly before the confiscation, "" for"
"42F","'he wrote in a despatch to Thomas","Cromwell",", "" hath been the common resort of"
"42F",", Abbot and uncle of Blessed Oliver.","Cromwell","and the Restoration came and went, and"
"43AI","sleeping and adding-up, as dead as Oliver","Cromwell",". But it is the little houses by"
"43N","Derry and the Boyne, and I remember","Cromwell","in full mail, and various Grand Masters"
"44Q1",", seeming to direct his mail-dad soldiers,","Cromwell","walked the night; a waft of death"
"45AA","from Antrim had fought for a Stuart against","Cromwell","and against the Covenant. And while some"
"45B","Ulster ended the last Irish principalities. In","Cromwell","'s time, the sons of princes and"
"45B","came together in the war for Charles against","Cromwell",", but that Ulster Gaels and Munster and"
"45K","exploiters, and behind them the soldiers of","Cromwell","and William and a code of penal law"
"45Z","shiver when we hear of the curse of","Cromwell",". It makes us think of the hatred"
"45Z","us think of the hatred the curse of","Cromwell","ground into the Irish heart. It makes"
"48D","the bog. Yet, save where Oliver","Cromwell","'s artillery damaged the masonry, the walls"
"48D",", too, suffered at the hands of","Cromwell",", but surviving those dangerous times was at"
"48D","Second. Many of the lands seized by","Cromwell","were in 1666 restored to him. He"
"49D","women and children transplanted there as slaves by","Cromwell","in the seventeenth century and by his successors"
"49D","shipped to Barbados were transplanted to Jamaica when","Cromwell","with typical treachery seized that island from Spain"
"49D","pleased with them, for they immediately urged","Cromwell","to send as many more as he could"
"49D","many more as he could round up.","Cromwell","in turn wrote to his son, Henry"
"49D","writing about Jamaica in 1756, says that","Cromwell","transported there a thousand men and a thousand"
