"Occ","Freq","CoFreq","Score","MeanDist"
"forces",73,3,6.9312,1.3333333
"followers",22,2,5.4464,1.0
"departure",33,2,5.0878,1.0
"men",600,3,4.1916,1.0
"army",108,2,4.0513,1.5
"campaign-the",1,1,3.9019,1.0
"atrocities",3,1,3.4249,1.0
"sieges",4,1,3.3,1.0
"heroism",4,1,3.3,2.0
"godly",4,1,3.3,2.0
"calibre",4,1,3.3,2.0
"death",260,2,3.2912,1.0
"damaged",5,1,3.2031,2.0
"troopers",8,1,2.999,1.0
"overwhelming",8,1,2.999,1.0
"regime",10,1,2.9022,1.0
"artillery",13,1,2.7883,1.0
"seed",14,1,2.7562,1.0
"fired",14,1,2.7562,2.0
"mercy",23,1,2.5408,1.0
"march",24,1,2.5223,1.0
"headquarters",24,1,2.5223,1.0
"campaign",39,1,2.3119,1.0
"ended",42,1,2.2798,2.0
"rise",46,1,2.2404,1.0
"Act",55,1,2.163,1.0
"report",63,1,2.1043,1.0
"plan",68,1,2.0712,1.0
"success",71,1,2.0526,1.0
"soldiers",79,1,2.0064,1.0
