"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"'s",2752,54,17.3544,1.2962964
"Oliver",126,14,14.764,0.42857146
"1649",14,5,8.3867,3.8000002
"Curse",3,3,7.0034,1
"Connacht",61,6,6.3582,5.1666665
"curse",15,4,6.2207,1
"Protector",5,3,6.0064,3.6666665
"bells",19,4,5.7739,3.75
"O'Neill",78,6,5.7222,5.1666665
"Martyrs",6,3,5.7069,2
"*",29,4,5.0026,6.5
"Clonmel",11,3,4.798,3
"paying",12,3,4.6745,5.3333335
"MacDonnells",2,2,4.6688,8
"forces",73,5,4.6099,2
"artillery",13,3,4.5621,3
"campaign",39,4,4.4792,5.25
"Henry",83,5,4.3403,3.6
"qualms",3,2,4.193,2.5
"seized",18,3,4.1143,3.3333335
"after",473,10,4.0407,2.6
"Ireland",1484,19,4.0179,3.6842103
"England",309,8,3.9376,3.25
"Spain",54,4,3.9183,6
"Restoration",22,3,3.8445,2.6666667
"Cromwell",170,6,3.8022,6
"Roe",23,3,3.7853,3
"marched",23,3,3.7853,0
"Drogheda",23,3,3.7853,2.3333333
"transplanted",5,2,3.6728,3.5
"Elizabeth",67,4,3.5546,6.25
"undo",6,2,3.4981,4.5
"hated",6,2,3.4981,4
"Essex",6,2,3.4981,1
"surrender",29,3,3.4798,4.3333335
"Owen",31,3,3.3928,3.3333335
"shipped",7,2,3.3533,5
"outset",7,2,3.3533,3.5
"soldiers",79,4,3.2814,1.75
"troopers",8,2,3.2297,4.5
"Jamaica",8,2,3.2297,3
"Parliament",85,4,3.1613,5
"had",2765,26,3.1326,3.9615383
",",35561,206,3.1278,3.8737864
"tactics",9,2,3.1219,6
"Dubh",9,2,3.1219,5.5
"Aodh",9,2,3.1219,5.5
"Welsh",10,2,3.0263,4
"thorough",10,2,3.0263,4
"Strongbow",10,2,3.0263,3
"war",160,5,3.0166,3.6
"Hunt",11,2,2.9405,2.5
"against",357,7,2.8111,1
"Settlement",13,2,2.7914,3
"offering",13,2,2.7914,3
"hell",13,2,2.7914,3.5
"suffered",52,3,2.7326,3.6666665
"soldier",52,3,2.7326,4.3333335
"Geraldine",14,2,2.7258,7
"fired",14,2,2.7258,3.5
"Assembly",14,2,2.7258,3.5
"Abbot",15,2,2.665,7
"remained",119,4,2.6217,5.75
"flung",16,2,2.6083,5
"Spenser",17,2,2.5553,6
"Lord",207,5,2.5282,4
"Laws",18,2,2.5055,3
"Kilkenny",63,3,2.4944,5.3333335
"causes",20,2,2.4141,7
"October",68,3,2.4008,2.3333333
"Puritans",21,2,2.372,6
"wrote",228,5,2.3508,1.8
"withers",1,1,2.3343,3
"Warbeck",1,1,2.3343,1
"Victors",1,1,2.3343,8
"undismayed",1,1,2.3343,7
"undiminished",1,1,2.3343,6
"treacheries",1,1,2.3343,8
"transaction-for",1,1,2.3343,0
"tradesman",1,1,2.3343,4
