"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"forces",73,3,6.9312,1.3333333
"followers",22,2,5.4464,1
"departure",33,2,5.0878,1
"men",600,3,4.1916,1
"army",108,2,4.0513,1.5
"campaign-the",1,1,3.9019,1
"atrocities",3,1,3.4249,1
"sieges",4,1,3.3,1
"heroism",4,1,3.3,2
"godly",4,1,3.3,2
"calibre",4,1,3.3,2
"death",260,2,3.2912,1
"damaged",5,1,3.2031,2
"troopers",8,1,2.999,1
"overwhelming",8,1,2.999,1
"regime",10,1,2.9022,1
"artillery",13,1,2.7883,1
"seed",14,1,2.7562,1
"fired",14,1,2.7562,2
"mercy",23,1,2.5408,1
"march",24,1,2.5223,1
"headquarters",24,1,2.5223,1
"campaign",39,1,2.3119,1
"ended",42,1,2.2798,2
"rise",46,1,2.2404,1
"Act",55,1,2.163,1
"report",63,1,2.1043,1
"plan",68,1,2.0712,1
"success",71,1,2.0526,1
"soldiers",79,1,2.0064,1
