"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"Settlement",13,7,20.0117,0
"regime",10,3,7.8756,0
"Elizabethan",10,3,7.8756,1
"the",40804,47,7.4853,0.14893615
"persecutions",6,2,5.4588,0
"soldiers",79,3,5.0674,0
"adventurers",13,2,4.7438,0
"1653",16,2,4.5571,1
"settlers",24,2,4.1965,0
"Williamite",25,2,4.1604,1
"war",160,3,4.152,0
"settlement",28,2,4.0605,0
"era",28,2,4.0605,0.5
".",25349,27,3.9063,0.92592597
"times",203,3,3.8468,0
"during",218,3,3.7558,1
"wars",41,2,3.726,0
"descendants",42,2,3.7049,0.5
"persecution",48,2,3.5884,0
"soldier",52,2,3.5187,0
"re-settlement",1,1,3.3165,0
"registration-the",1,1,3.3165,0
"parvenus",1,1,3.3165,0
"grantee",1,1,3.3165,0
"frightfulness",1,1,3.3165,1
"depriving",1,1,3.3165,1
"debentures",1,1,3.3165,0
"forces",73,2,3.2246,0
"thinned",2,1,3.0155,1
"despoliation",2,1,3.0155,0
"The",4112,8,3.0057,0
"brood",3,1,2.8396,0
"cruelty",5,1,2.6179,0
"card",5,1,2.6179,1
"undo",6,1,2.5388,1
"sentry",6,1,2.5388,0
"Prendergast",6,1,2.5388,1
"planter",6,1,2.5388,0
"murderer",6,1,2.5388,0
"by",3024,6,2.4215,0.5
"troopers",8,1,2.4141,0
"onwards",8,1,2.4141,1
"identity",8,1,2.4141,0
"tyranny",12,1,2.2384,0
"derived",14,1,2.1717,1
"conquest",15,1,2.1418,0
"planters",16,1,2.1139,0
"gallows",16,1,2.1139,0
"occupation",20,1,2.0174,0
