"Occurences","Frequency","CoFrequency","Score","MeanDistance"
"the",40804,135,20.6096,0.5703703
"Irish",2121,30,20.0866,0.13333333
"English",527,12,10.7812,0.08333337
"native",174,7,8.2332,0
"learned",63,4,5.7217,0.75
"international",25,3,5.249,0
"Gaelic",343,6,5.04,0.33333337
"everyday",7,2,4.4132,0
"Whose",15,2,3.7174,0
"which",2480,12,3.7058,0.5
"speak",82,3,3.6886,1
"is",4622,17,3.5612,0.35294116
"our",771,6,3.1312,0.16666663
"any",534,5,3.0439,0.39999998
"living",168,3,2.7835,0.33333337
"The",4112,14,2.729,0.5
"national",195,3,2.6,0.33333337
"tongue",55,2,2.5825,1
"culture",72,2,2.3533,1
"foreign",79,2,2.2749,0
"its",1154,6,2.2655,0.16666663
"of",25827,51,2.2292,0.43137252
"difficult",86,2,2.2035,0.5
"Latin",96,2,2.1113,0.5
"other",606,4,2.003,0
