"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"Gaelic",343,10,7.5476,2.9
"history",312,7,4.7284,3.5714288
"Colum",3,2,4.7117,6.5
"literature",77,4,4.3101,4
"Anglo-Irish",40,3,3.8184,0
"confession",8,2,3.7453,5
"Pearse",114,4,3.6497,6.75
"lasting",12,2,3.3759,3.5
"poet",243,5,3.3587,5.6
"in",13032,54,3.3219,4.314815
"cent",15,2,3.1765,5.5
"painting",68,3,3.1362,3
"bardic",16,2,3.1192,5
"Corkery",17,2,3.0656,7
"printed",21,2,2.8798,1.5
"immense",21,2,2.8798,2.5
"doctrine",24,2,2.7633,3.5
"'",1957,13,2.7205,6
"his",4276,22,2.7203,6
"words",207,4,2.684,6.5
"element",28,2,2.6297,4.5
"criticism",28,2,2.6297,3.5
"Sheehan",114,3,2.4928,7.333333
"Irish",2121,13,2.427,4.3846154
"Professor",36,2,2.4137,8
"read",127,3,2.3616,6
"""",6671,29,2.3288,5.137931
"certainly",43,2,2.2625,6
"per",44,2,2.243,4.5
"mean",46,2,2.2054,0.5
"Yeats",55,2,2.0552,4.5
