"Occurrences","Frequency","CoFrequency","Score","MeanDistance"
"their",2209,31,7.4507,4.322581
"the",40804,245,6.1027,4.428571
"Lughaidh",5,3,6.0741,1
"win",31,4,4.972,3.25
"noble",71,5,4.7763,1.5999999
"defiance",14,3,4.5259,7
"O'Dowd",3,2,4.2382,7.5
"patrons",22,3,3.9109,6
"pride",59,4,3.8542,6
"of",25827,153,3.7579,3.980392
"our",771,12,3.6878,1.5833333
"human",128,5,3.5581,0
"film",6,2,3.543,2.5
"indomitable",6,2,3.543,3.5
"horse",72,4,3.5197,7
"Ballymoss",7,2,3.3982,5.5
"plough",7,2,3.3982,6
"trained",33,3,3.3772,8
"divided",35,3,3.301,5.3333335
"/",38,3,3.1951,6
"lingered",9,2,3.1666,4
"stewards",10,2,3.071,6
"Luighe",11,2,2.9851,4.5
"expresses",12,2,2.9072,7.5
"valiant",12,2,2.9072,3
"remnants",13,2,2.8359,2.5
"belongs",14,2,2.7702,6
"royal",55,3,2.7265,1.3333333
"Corca",15,2,2.7094,4.5
"salvation",17,2,2.5995,6.5
"charged",17,2,2.5995,5.5
"race",130,4,2.564,5
"lore",18,2,2.5497,5.5
"without",318,6,2.5111,4
"won",69,3,2.4459,3
"mill",21,2,2.4159,5.5
"ancient",153,4,2.3124,1.25
"struggle",77,3,2.3122,4
"lord",25,2,2.2661,6
"representative",27,2,2.2004,2.5
"north",87,3,2.1652,9.333333
"happiness",29,2,2.1397,8
"Washington",29,2,2.1397,4
"ruin",29,2,2.1397,5
"That",272,5,2.1272,2.8
"own",503,7,2.1258,4.714286
"continue",31,2,2.0833,3.5
"deeply",32,2,2.0565,1.5
"Gaels",33,2,2.0307,4.5
"kings",34,2,2.0056,3.5
"tomb",34,2,2.0056,4.5
