"Reference","LeftContext","Pivot","RightContext"
"35B","the English amy, and he and Henry","Cromwell",", one of Oliver 's sons, married two sisters. Around"
"43AI","sleeping and adding-up, as dead as Oliver","Cromwell",". But it is the little houses by Brabla Burn, the"
"43N","Derry and the Boyne, and I remember","Cromwell","in full mail, and various Grand Masters 'or Lodge Masters"
"45AA","from Antrim had fought for a Stuart against","Cromwell","and against the Covenant. And while some MacDonnells had already bowed"
"49M","survivors of the sack of Drogheda by Oliver","Cromwell",", and this event not unnaturally coloured his whole subsequent political outlook"
"49T","to the descent on this country of Oliver","Cromwell","and his destroying soldiery in 1649, was not the work of"
"50K","method. For three hundred years, Welsh","Cromwell","'s name has been execrated. Was the Welsh Premier of Great"
"50K","than Prendergast 's work, an account of","Cromwell","in Ireland 300 years ago. * On the feast-day of Our"
"50K","in Harvest, 15 August 1649, Oliver","Cromwell",", Lord Lieutenant and General for the Parliament of England, landed"
"50K","equivalent of twenty times that sum today.","Cromwell","had come well prepared to carry out "" a godly thorough reformation"
"50K","the Cromwells, he was grand-nephew of Thomas","Cromwell",", secretary of Cardinal Wolsey, who had grown enormously rich on"
"50K","King Henry 's time. Oliver was called","Cromwell","in honour of the wealthy side of his ancestry, but was"
"50K","a paying business to be a soldier of","Cromwell","; and mighty paying to be a Cromwell for Oliver made an"
"50K","Cromwell ; and mighty paying to be a","Cromwell","for Oliver made an income as big as a modern millionaire's."
"50K","as big as a modern millionaire's. Oliver","Cromwell",", however, was something more than an exceedingly tenacious, shrewd"
"50K","not be put on for mere policy.","Cromwell","believed in himself, and believed in his cause. He did"
"50K","on the exploitation of Ireland. "" Oliver","Cromwell",", Esq., "" is found among the subscribers. He"
"50K","the Civil War went on ; and so","Cromwell","came to the front as the chief Republican figure. When Charles"
"50K","Even a Puritan had qualms about regicide.","Cromwell","had no qualms. Death to the king-that was his purpose."
"50K","now, with England under his iron heel","Cromwell","could take up his Irish purpose. He had compassed the death"
"50K","Arras, he was the one man of","Cromwell","'s own calibre as a soldier, fit to meet and defeat"
"50K","nothing came of it. Ormond, when","Cromwell","had landed, realised that he must secure O'Neill 's aid and"
"50K","him terms. If Owen Roe would fight","Cromwell","for the Assembly, the Assembly would grant the Ulstermen possession of"
"50K",". On the last day of August,","Cromwell","marched out of Dublin, with ten thousand men. His objective"
"50K","the outset when, on September 3,","Cromwell","'s forces were flung around the town beside the Boyne. Drogheda"
"50K","word, a prize for the victor.","Cromwell","opened fire on it with guns, the heaviest of the time"
"50K",", to the east and the south.","Cromwell","demanded the town 's surrender. It was refused. Thereupon he"
"50K","Resistance at last collapsed. Drogheda was at","Cromwell","'s mercy. Jones reported to Cromwell that "" all the flower"
"50K","at Cromwell 's mercy. Jones reported to","Cromwell","that "" all the flower of the Irish army "" was in"
"50K","body was chopped to pieces by those whom","Cromwell","was wont to call the Lord 's Anointed. Only one officer"
"50K","hatred of a Catholic people, so inflamed","Cromwell","'s men that civilians, · man, woman and child,"
"50K","of church and tower, were pursued by","Cromwell","'s men, who snatched up children and used the little bodies"
