"id","issueyear","genre","CelticRevival","Classics","Cuchulain","Fairies","Fiannana","Folklore","Gaeilge","Ghosts","Language","Literature","Meadhbh","Milesians","Newspapers","NiHoulihanKathleen","Poetry","Theatre","TuathadeDanann","AuthorM","AuthorF"
"30I",1930,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"30R",1930,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31C",1931,"Essay",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"31Y",1931,"Review",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32H",1932,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32L",1932,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32M",1932,"Testimony",1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1
"33S",1933,"Essay",0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
"34T",1934,"Essay",0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1
"35B",1935,"Essay",0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1
"36E",1936,"Essay",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"38D",1938,"Testimony",0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0
"38I",1938,"Biography",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"38K",1938,"Testimony",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"38M",1938,"Essay",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"40V",1940,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"40W",1940,"Testimony",0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1
"41C",1941,"Essay",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
"41F",1941,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"42F",1942,"Essay",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"42S",1942,"Essay",1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,1,0
"43AI",1943,"Testimony",0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"43N",1943,"Testimony",0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1
"43P",1943,"Essay",0,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
"44Q1",1944,"Poem",0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"44T",1944,"Essay",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"45B",1945,"Essay",0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0
"45C",1945,"Testimony",0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0
"45K",1945,"Essay",0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0
"45X",1945,"Essay",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0
"45Z",1945,"Essay",1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,1,0
"45AA",1945,"Biography",0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
